array,site,buff_dist,harvest,pipeline,roads,seismic_lines,seismic_lines_3D,trails,transmission_lines,veg_edges,wells,lc_grassland,lc_coniferous,lc_broadleaf,lc_mixed,lc_developed,lc_shrub,osm_industrial,deploy_date,deploy_time,crew,grid_cell,camera_unit,sd,lat,long,gps_label,ecosite,site_description,topography,grade,elevation,dist_trail,camera_direction,trail_rating,dist_lure,site_comments,forest
LU13,LU13_05,250,0,0.26433109,0.017265647,0,0,0,0.131534874,0.01712924299999999,0,0.15827211500000005,0.8417278850000002,0,0,0,0,0,2022-09-16,09:01:00,LG AB,LU13_05,ACME-2022-86,OSM-22-38,57.1115,-111.21362000000002,LU13_05,NA,"Camera along game trail. Mossy understory, mixed forest stand.",Flat,0,433,1,NW,2,5.5,"Park along main road, cross shrubby area, enter forest stand, follow game trail to camera.",Mixed
LU13,LU13_26,250,0,0.093083324,0.020873028,0,0,0,0.08817940599999997,0.020912238,0,0.20310825200000004,0.796891748,0,0,0,0,0,2022-09-16,11:03:00,LG AB,LU13_26,ACME-2022-104,OSM-22-118,57.08022,-111.27681,LU13_26,NA,"Pretty dense underbrush, had to do lots of clearing.",Flat,0,393,3,W,2,6,"Drive, walk, live, laugh, love. Actually, just have to drive to the point on the road and bushwhack in.",Broadleaf
LU13,LU13_35,250,0,0,0.02066552,0.00831035,0,0.005168939,0,0.063190488,0.016697475,0,0.6609777619999997,0,0,0,0.339022238,0.010436284,2022-09-16,14:05:00,LG AB,LU13_35,ACME-2022-120,OSM-22-98,57.11565,-111.43315000000001,LU13_35,NA,"Camera along heavily-used game trail. Very open area, with lots of lichen ground cover and cranberry. Dominate coniferous forest stand.",Flat,0,338,1,W,3,5,"Park along main road. Walk in along cut line, enter forest stand, follow game trail in.",Conifer
LU13,LU13_13,250,0,0,0,0.00854809099999999,0,0.03859562499999999,0.001518472,0,0.001437332,0,0.833361124,0.166638876,0,0,0,0,2022-09-16,13:12:00,LG AB,LU13_13,ACME-2022-102,OSM-22-89,57.07174,-111.30006999999999,LU13_13,NA,"Very mossy! Open clearing along cutline. Aspen. Couldn't find a ""great"" trail, but some sign of animal movement here. Not all trails can be great.",Flat,0,378,1,N,1,7,Can walk down a nice cutline to get here.,Broadleaf
LU13,LU13_128,250,0,0,0,0.012516394,0,0.01541515999999999,0,0,0.014988207,0,0.7585167719999997,0,0,0,0.24148322800000005,0,2022-09-16,13:54:00,RS NB,LU13_128,ACME-2022-96,OSM-22-09,57.063210000000005,-111.3068,LU13_128,NA,"Camera on aspen on seismic line, not too far from cutline intersection and cleared area. Mixed conifer and aspen. Decent game trail or seismic line.",Flat,0,381,2,NE,3,7,REPLACEMENT FOR CELL LU13_28. Walk across clearing by road (wasn't wet) and follow seismic line. Just past large cutline interaction on aspen.,Mixed
LU13,LU13_131,250,0,0,0,0.01100839999999999,0,0.003142914,0.017424108,0,0.019390804,0.010270419,0.664995088,0,0,0,0.324734494,0,2022-09-16,13:07:00,RS NB,LU13_131,ACME-2022-61,OSM-22-25,57.06533000000001,-111.32229999999998,LU13_131,NA,Game trail in mixed forest stand adjacent to river. Mossy understory with mixed plants.,Flat,0,374,1.5,NE,1,6,"REPLACEMENT FOR CELL LU13_31 because only accessible via mine. Park roadside, follow cutline to shrubs at riverbank, turn into forest and follow game trial on east side of cutline.",Mixed
LU13,LU13_12,250,0,0,0,0.036972221,0,0,0,0,0,0.05865902600000002,0.941340974,0,0,0,0,0,2022-09-16,11:48:00,RS NB,LU13_12,ACME-2022-62,OSM-22-74,57.057739999999995,-111.31858,LU13_12,NA,Spruce forest. Camera on seismic line with a well used game trail. Some rose and labrador tea. Not wet but mossy.,Flat,0,367,1,W,3,5,"Walk south down line that starts outside north part of cell, then turn left down other seismic line. Easy walk.",Broadleaf
LU13,LU13_33,250,0,0.114156402,0.022914053,0,0,0,0.09303191699999998,0.023041517,0,0.530401227,0.4695987730000002,0,0,0,0,0,2022-09-16,10:51:00,RS NB,LU13_33,ACME-2022-64,OSM-22-16,57.0561,-111.33516999999999,LU13_33,NA,"Game trail in wet mixed forest - black spruce, larch, and small deciduous trees. Grassy and mossy understory.",Flat,0,363,1,NE,1,4.5,Park roadside and walk into forest (not great).,Conifer
LU13,LU13_32,250,0,0.101229516,0.02145801100000001,0,0,6.330909999999999e-4,0.08955906599999996,0.0214878,0,0.3420653509999999,0.5442204780000002,0,0,0,0.11371417100000004,0,2022-09-16,09:53:00,RS NB,LU13_32,ACME-2022-65,OSM-22-63,57.04958,-111.34759000000001,LU13_32,NA,Spruce/pine stand with moss/labrador tea. Not really wet. Camera in small opening in forest.,Flat,0,363,1,NE,2,4,"Park in shoulder of road close to km 11-12, walk in to spot that's slightly more upland-looking. Bushwhack to camera.",Conifer
LU13,LU13_30,250,0,3.607289999999999e-4,0.007339757,0.02042224699999999,0,0.00108852,0.05725245900000001,0.007525082,0,0.102437442,0.8975625579999996,0,0,0,0,0,2022-09-16,09:16:00,RS NB,LU13_30,ACME-2022-97,OSM-22-116,57.04375,-111.36054,LU13_30,NA,"Pointing down game trail on the side of a wide cutline. Cutline is grassy. Forest on either side is spruce, larch mix with labrador tea understory.",Flat,0,352,0.5,N,3,3,Park roadside and walk down cutline to camera site.,Conifer
LU13,LU13_53,250,0,0,6.669730000000001e-4,0,0,0,0,0.01986981099999999,0,0,1,0,0,0,0,0,2022-09-15,15:59:00,LG AB,LU13_53,ACME-2022-85,OSM-22-114,57.11683,-111.26450000000001,LU13_53,NA,"Labrador tea and mossy area, pretty open.",Flat,0,384,1,N,3,6,"Park on road, walk in.",Conifer
LU13,LU13_22,250,0.003321406,0,0,0.007163817,0,0,0,0,0,0,0.2925038710000002,0.5767040130000004,0.130792115,0,0,4.701900000000001e-4,2022-09-15,09:41:00,LG AB,LU13_22,ACME-2022-87,OSM-22-110,57.17485,-111.12086,LU13_22,NA,Camera along game trail. Shrubby understory. Mixed forest stand.,Flat,0,488,2,W,2,4.5,"Park along main road, in a pullout with cement barriers. Walk in along cutline until you reach forest stand, follow game trail in.",Broadleaf
LU13,LU13_19,250,0.154182762,0.049357795,0.03224740199999999,0,0,0,0.107037927,0.10540252100000004,0,0.14736976100000004,0.8526302390000002,0,0,0,0,0.1999498360000001,2022-09-15,NA,LG AB,LU13_19,ACME-2022-56,OSM-22-53,57.163340000000005,-111.13,LU13_19,NA,Mossy clearing with moderately used game trail.,Flat,0,441,1,N,2,6,"Park near powerlines, bushwhack into stand of trees. No real trail until you reach camera.",Broadleaf
LU13,LU13_45,250,0.3422376649999999,0,0.02380708099999999,0.004800896,0,0,0.028205465,0.07863624300000008,0,0.032033466,0.9679665339999998,0,0,0,0,0.094176655,2022-09-15,11:04:00,LG AB,LU13_45,ACME-2022-89,OSM-22-86,57.1554,-111.14605,LU13_45,NA,Camera along game trail. Mossy understory with lots of labrador tea. Dominate coniferous forest stand.,Flat,0,429,1.5,W,2,4.5,Park along main road. Enter forest stand and follow game trail in.,Conifer
LU13,LU13_08,250,0,0.01163198799999999,0.02748835000000001,0,0,0.00254512,0.04993017,0.08728329300000003,0,0.049007831,0.9509921689999998,0,0,0,0,0.04465717900000001,2022-09-15,12:38:00,LG AB,LU13_08,ACME-2022-119,OSM-22-69,57.14077,-111.17169,LU13_08,NA,"Camera along game trail. Mossy understory, with lots of horsetail and wild rose. Dominate coniferous forest stand.",Flat,0,426,1,N,2,4,"Park along main road. Enter forest stand, go past lots of dead fall unitl you find game trail, follow to camera.",Mixed
LU13,LU13_43,250,0,0.022190472,0.028735773,0.011843893,0,0.002908267,0.056067099,0.09331818699999996,0,0.08415741499999997,0.9158425849999998,0,0,0,0,0,2022-09-15,NA,LG AB,LU13_43,ACME-2022-118,OSM-22-67,57.14806,-111.15834999999998,LU13_43,NA,"Mossy open area, pointed right down trail.",Flat,0,426,1,N,1,4,"Park on road, bushwhack in. We tried to go on the south side, but lots of cattails.",Conifer
LU13,LU13_41,250,0,0.15649097800000006,0.03320583499999999,0,0,0,0.079133302,0.10832211900000002,0,0.17139019300000005,0.8286098070000004,0,0,0,0,0,2022-09-15,13:15:00,LG AB,LU13_41,ACME-2022-82,OSM-22-80,57.13169,-111.18623,LU13_41,NA,"Placed on a very old looking cutline, but the trail was super defined. Executive decision to put cam here.",Flat,0,423,1.5,NE,3,15,"Park on road, walk in. Talked about Blood Diamond, great movie.",Conifer
LU13,LU13_59,250,0,0,0.017325642,0.005262076,0,0,0,0.04908673299999999,0,0,1,0,0,0,0,0,2022-09-15,15:22:00,LG AB,LU13_59,ACME-2022-84,OSM-22-07,57.12108,-111.25407,LU13_59,NA,Camera along game trail. Mossy understory with lots of labrador tea. Dominate coniferous forest stand.,Flat,0,387,1,NE,2,5,"Park along main road, enter forest stand, follow game trail to camera.",Conifer
LU13,LU13_06,250,0,0,0.02364587999999999,0.013200798,0,0,0,0.07693094200000003,0,0,1,0,0,0,0,0,2022-09-15,14:47:00,LG AB,LU13_06,ACME-2022-81,OSM-22-62,57.12073000000001,-111.21960000000001,LU13_06,NA,"Lots of labrador tea, well used trail.",Flat,0,411,1,N,3,8,"Same as the rest of them, you park along main road and bushwhack in.",Mixed
LU13,LU13_14,250,0,0.2889610900000001,0,0,0,2.34231e-4,0.17394987000000006,0,0,0.09919436,0.3783736530000001,0,0.5224319869999998,0,0,0,2022-09-15,14:05:00,LG AB,LU13_14,ACME-2022-83,OSM-22-87,57.123020000000004,-111.19257999999999,LU13_14,NA,"Camera along heavily-used game trail. Mossy understory with lots of horsetail. Mixed forest stand, mostly conifer.",Flat,0,433,1,NW,3,4,Park along main road. Cross powerline clearing and shrubs. Enter forest stand and follow game trail in.,Broadleaf
LU13,LU13_52,250,0.05464013600000001,0,0.03144184300000001,0.010833357,0,0,0,0.09145893099999997,0.014352829,0,1,0,0,0,0,0,2022-09-15,16:21:00,RS NB,LU13_52,ACME-2022-116,OSM-22-105,57.11729,-111.41942000000002,LU13_52,NA,"Along game trail in sparse dry pine forest, blueberry, mossy understory.",Flat,0,358,2,W,2,7,Park roadside and walk to site.,Conifer
LU13,LU13_36,250,0,0,0.025420297,0.01792433000000001,0,0,0,0.08278724800000002,0.010477575,0,0.81905117,0,0,0,0.1809488300000001,0,2022-09-15,15:50:00,RS NB,LU13_36,ACME-2022-98,OSM-22-06,57.12073000000001,-111.38155,LU13_36,NA,Open labrador tea meadow surrounded by black spruce and some other shrubs.,Flat,0,343,2,W,1,3,"Park on road, walk to camera down cutline to labrador tea meadow.",Conifer
LU13,LU13_38,250,0,0,0.02802207999999999,0,0,0.01860064,0,0.09139918699999998,0.0157509,0,0.7085031599999996,0,0,0,0.2914968400000001,0,2022-09-15,15:09:00,RS NB,LU13_38,ACME-2022-111,OSM-22-36,57.11777,-111.35448,LU13_38,NA,On a boggy wide cutline in a spruce/larch stand. Understory bog with horsetail. WET! Lured down larch tree.,Flat,0,358,2,N,1,6,Park roadside and bushwhack to cutline. Walk to site.,Conifer
LU13,LU13_20,250,0,0.087183408,0.022288942,0.005122676,0.025399858,0.021127649,0,0.07319290600000003,0.021523412,0,0.9860325179999998,3.3064499999999996e-4,0,0,0.013636837,0.238178834,2022-09-14,13:43:00,RS NB,LU13_20,ACME-2022-95,OSM-22-02,57.1806,-111.10409,LU13_20,NA,"On the north side of a pond, in the forest. Mostly spruce but gets shrubby nearby.",Flat,0,497,2,NE,2,6,You can park by the highway or on the nearby road. Follow vague outline into forest. Camera is on the north side of the pond where the spruce turns into shurbs.,Broadleaf
LU13,LU13_17,250,0,0.095781389,0.03014309999999999,0.01251235,0.046362588,0,0,0.04125982800000002,0,0,1,0,0,0,0,0,2022-09-15,12:59:00,RS NB,LU13_17,ACME-2022-93,OSM-22-23,57.16414,-111.10896,LU13_17,NA,"At intersection at 2 seismic lines, each with prominent game trails. Black spruce dominated stand with mossy understory and sparse ground plants. Some deadfall.",Flat,0,497,3,NE,3,5,Park roadside and follow seismic lines to site.,Broadleaf
LU13,LU13_56,250,0,0.17380039600000005,0.04284079099999999,0.008294266,0.03419348900000001,0,0,0.06567398,0,0,0.8737294920000006,0.12627050799999995,0,0,0,0.222314778,2022-09-15,11:42:00,RS NB,LU13_56,ACME-2022-94,OSM-22-20,57.152100000000004,-111.10345,LU13_56,NA,"Lots of black spruce and willow. On old, starting to get overgrown seismic line near patch of cattails on bigger cut.",Flat,0,516,0.5,W,2,5,"Some moose scat. Park near entrance to excavation site, walk along large cutline, out through small patch of woods, cross through cattails (they were dry for us..) and onto small old seismic line.",Broadleaf
LU13,LU13_49,250,0,0.062114793,0.02382864799999999,0,0.067536912,0,0.027161062,0.08015578200000002,0.040718204,0,1,0,0,0,0,0,2022-09-15,11:01:00,RS NB,LU13_49,ACME-2022-92,OSM-22-104,57.193340000000006,-111.07793,LU13_49,NA,"Pointing down game trail along seismic line. Dense black spruce forest with  mossy understory with sparse labrador tea, horsetail, and grass. More lowland transitional.",Flat,0,504,1,N,2,4.5,Park on side at highway and follow seismic lines to camera site.,Conifer
LU13,LU13_70,250,0,0.013674117,0.011521812,0.005884294,0.08757588100000002,0,0,0.023957118,0,0,0.938248195,0,0,0.061751926,0,0,2022-09-15,10:13:00,RS NB,LU13_70,ACME-2022-90,OSM-22-31,57.19792,-111.05211,LU13_70,NA,On a seismic line intersection. Lots of black spruce but dry. Lots of labrador tea.,Flat,0,515,2,N,2,5,There's a seismic line you can walk in on right to the camera. Easy walking on the west side of road.,Conifer
LU13,LU13_11,250,0,0.031660288,0.02259628699999999,0,0.026647346,0,0,0.04241018800000001,0.06265919000000002,0,0.6187714110000002,0,0,0.17850425600000006,0,0.4547168500000001,2022-09-15,09:35:00,RS NB,LU13_11,ACME-2022-91,OSM-22-44,57.17275000000001,-111.04179,LU13_11,NA,Along game trail on seismic line. Black spruce forest with mossy understory of shrubby labrador tea and lichen.,Flat,0,528,2.5,NW,2,5,Park roadside and enter forest on west side. Bushwhack to seismic line and follow to camera site.,Mixed
LU15,LU15_44,250,0,0.104649475,0.021654293,0,0,0,0,0.021493018,0,0.099223611,0.847122609,0,0,0.05365378000000002,0,0,2022-09-13,11:28:00,AB NB,LU15_44,ACME-2022-07,OSM-22-109,56.212650000000004,-112.87607999999999,LU15_44,NA,"Mixed poplar, somewhat well-used trail in dense forest.",Flat,0,587,NA,NW,3,6,Walk through a clearing and into the dense forest. Not really a trail until you get closer to camera.,Mixed
LU15,LU15_11,250,0,0.05498456700000001,0.019556093,0,0,0,0,0.02109091500000001,0.120818267,0.027727319,0.880275994,0,0,0.09199668800000002,0,0.002137354,2022-09-13,10:15:00,AB NB,LU15_11,ACME-2022-21,OSM-22-30,56.212140000000005,-112.83254,LU15_11,NA,"Pretty boggy and close to well pad, but we just couldn't find anything else.",Flat,0,574,NA,NE,1,8,"Drive onto well pad, follow wet/boggy trail until you reach a tall stand of trees.",Conifer
LU15,LU15_19,250,0,0.06232261000000001,0.022720476,0.008224222,0,0,0,0.025405209,0.13874719300000002,0,0.881446695,0,0,0.11855330499999996,0,0,2022-09-13,10:51:00,AB NB,LU15_19,ACME-2022-09,OSM-22-35,56.2124,-112.85681,LU15_19,NA,"In the bog, black spruce stand. Wet and not many visible game trails.",Flat,0,569,NA,W,1,3,"Walk from compressor into bog, no visible trail, good luck.",Broadleaf
LU15,LU15_07,250,0,0.036433753,0.020159677,0.010880587,0,0,0,0.025279425,0.07258988799999998,0,0.842036901,0,0,0.1579630990000001,0,0,2022-09-13,15:24:00,AB NB,LU15_07,ACME-2022-23,OSM-22-107,56.2118,-112.98846,LU15_07,NA,"Older seismic line coming off wellpad. Black spruce, mossy but not too wet",Flat,0,616,2,NE,2,6,"Park at wellpad, walk down seismic line. Camera on line on spruce tree ~ 130 m from wellpad. Almost out of cell - whoops.",Conifer
LU15,LU15_34,250,0,0.127500418,0.03274157599999999,0.014759583,0,0,0,0.03961269600000002,0.088200004,0,0.4704735910000002,0,0.012341585,0.23593165400000005,0.28125317,0,2022-09-13,16:34:00,AB NB,LU15_34,ACME-2022-26,OSM-22-102,56.1777,-112.99898,LU15_34,NA,Grassy old line with spruce and lots of shrub.,Flat,0,606,1,NE,1,7,"Near downed tree on old seismic line. Park on road, walk straight down line, ~100 m, in front of downed tree. Not great placement but cell sucked.",Mixed
LU15,LU15_37,250,0,0.08694004300000002,0.0268871,0.00527717499999999,0,0,0,0.036188018,0.030337581,0.4712244010000001,0.366229225,0,0,0.16254637400000005,0,0.20309144000000007,2022-09-13,17:18:00,AB NB,LU15_37,ACME-2022-69,OSM-22-83,56.1802,-112.86945,LU15_37,NA,"Mixed, sort of boggy. Camera on clear trail.",Flat,0,581,NA,E,3,4,"Walk along edge of lake, high ground much easier! Then just cut hard right (starboard) into the forest. Easy peasy.",Mixed
LU15,LU15_18,250,0,0.06481988699999996,0.007081311,0,0,0,0,0.01277928,0.05463960800000004,0,0.9212864909999998,0,0,0.07871350900000003,0,0,2022-09-13,14:44:00,AB NB,LU15_18,ACME-2022-20,OSM-22-85,56.21154,-112.93424000000002,LU15_18,NA,"Mossy cutline, camera facing into old cutline.",Flat,0,600,NA,NE,2,7,"Park on well pad, bushwhack to cutline. Easy walkin.",Broadleaf
LU15,LU15_43,250,0,0,0,0.01527141999999999,0,0,0,0,0,0,0.57990512,0,0.4200948800000001,0,0,0,2022-09-13,12:24:00,AB NB,LU15_43,ACME-2022-19,OSM-22-21,56.21047,-112.89617,LU15_43,NA,"Old seismic line, boggy, black spruce, mossy.",Flat,0,576,2,NE,3,5,"Park at well pad, walk into SE corner, follow well-defined game trail to site. Camera on old seismic line.",Mixed
LU15,LU15_10,250,0,0.002745666,0.00842654799999999,0.00482526,0,0,0,0.001488976,0,0.12594196400000005,0.814860255,0,0,0.05919778100000001,0,0.311102854,2022-09-13,13:25:00,AB NB,LU15_10,ACME-2022-10,OSM-22-08,56.21595000000001,-112.91250000000001,LU15_10,NA,On a seismic line beside a pond with an active beaver. Lots of small deciduous and black spruce.,Flat,0,588,4,NE,3,6,"Seismic line is very clear from road, marked by old log pile. 2/3 of the way to tall aspen stand on east side of line.",Conifer
LU15,LU15_58,250,0,0,0,0.01103570699999999,0,0,0,0,0,0.074847428,0.7931847169999998,0,0,0,0.13196785500000005,0,2022-09-13,13:58:00,AB NB,LU15_58,ACME-2022-17,OSM-22-49,56.22151000000001,-112.91390000000001,LU15_58,NA,"Really distinct trail, looks like a lot of activity. Camera is right on the line of cell LU15-58, but a giant wetland prohibited us from going further.",Flat,0,596,NA,SE,3,NA,"Easy walk down seismic line from LU15-10. Walk as far as you can before reaching a wetland, then take a left into the forest. Very well marked trail when you get into the forest a bit.",Mixed
LU15,LU15_08,250,0,0.05710622900000001,0.020933499,0,0,0,0,0.023514791,0.03659243499999998,0.192553191,0.739930172,0,0,0.067516638,0,0.189024458,2022-09-13,09:26:00,AB NB,LU15_08,ACME-2022-06,OSM-22-29,56.215085,-112.80639199999999,LU15_08,NA,"Near lake, clear defined trail. Mix of birch and aspen.",Flat,0,NA,NA,S,3,10,Walk beside east side of pond on clear trail by black spruce. On edge of black spruce stand.,Conifer
LU15,LU15_12,250,0,0.08472918100000003,0.02461325299999999,0,0,0,0,0.025721537,0.00995015599999999,0,0.776892566,0,0,0.22310743400000005,0,0,2022-09-13,17:19:00,LG RS,LU15_12,ACME-2022-25,OSM-22-01,56.179370000000006,-112.82142,LU15_12,NA,"Camera along game trail. Mossy understory, lots of labrador tea and horsetail. Dominate coniferous forest stand.",Flat,0,582,1,N,1,4,Park on main road. Walk straight in from road on game trial.,Conifer
LU15,LU15_17,250,0,0.028621658,0.024559149,0.009857217,0.019328871,0,0,0.02454917799999999,0,0.17730318500000006,0.10160472500000003,0,0.7210920889999998,0,0,0,2022-09-13,16:41:00,LG RS,LU15_17,ACME-2022-88,OSM-22-17,56.1792,-112.74088,LU15_17,NA,Game trail on side of old seismic line. Spruce bog with mossy labrador tea understory.,Slope,0,557,0.5,SW,2,4,"Park roadside, bushwhack to seismic line.",Broadleaf
LU15,LU15_01,250,0,0.012227416,0.023667818,0.030088468,0,0,0,0.024204134,0,0.08553585400000002,0.659073714,0,0,0.15992762300000005,0.095462809,0,2022-09-13,14:49:00,LG RS,LU15_01,ACME-2022-117,OSM-22-15,56.13297000000001,-113.01591,LU15_01,NA,Pointing down a very prominent game trail on the edge of a seismic line. Black spruce bog with mossy ground and labrador tea. A trail comes out of forest onto camera trail at lure tree.,Flat,0,591,0.5,NE,3,7,"Park along road beside seismic line, walk up line on E side of road, follow until you hit camera site.",Conifer
LU15,LU15_26,250,0,0.08721034700000002,0.023629674,0,0,0,0,0.04249210700000001,0.07236070300000003,0.378626758,0.20411229600000003,0,0,0.166580976,0.2506799700000001,0.07236070300000003,2022-09-13,14:14:00,LG RS,LU15_26,ACME-2022-24,OSM-22-27,56.13686,-113.00198,LU15_26,NA,"Camera along game trail. Mossy understory, with lots of labrador tea. Dominate coniferous forest stand.",Flat,0,596,1,N,2,3,"Park long main road, follow game trail into forest.",Mixed
